timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz], temperature.gpu
2026/09/09 12:30:56.979, 20874, 24467, 100, 83, 144.96, 1762, 51
2026/09/09 12:30:57.980, 20874, 24467, 100, 83, 145.00, 1762, 52
2026/09/09 12:30:58.980, 20874, 24467, 100, 83, 145.01, 1762, 52
2026/09/09 12:30:59.980, 20874, 24467, 100, 57, 145.03, 1642, 54
2026/09/09 12:31:00.981, 20874, 24467, 100, 56, 144.99, 1635, 53
2026/09/09 12:31:01.981, 20874, 24467, 100, 83, 144.99, 1740, 53
2026/09/09 12:31:02.981, 20874, 24467, 100, 83, 145.00, 1747, 54
2026/09/09 12:31:03.982, 20874, 24467, 100, 84, 145.02, 1740, 56
2026/09/09 12:31:04.982, 20874, 24467, 100, 56, 145.03, 1635, 56
2026/09/09 12:31:05.982, 20874, 24467, 100, 57, 144.97, 1687, 56
2026/09/09 12:31:06.983, 20874, 24467, 100, 83, 144.99, 1732, 56
2026/09/09 12:31:07.983, 20874, 24467, 100, 83, 145.01, 1732, 56
2026/09/09 12:31:08.983, 20874, 24467, 100, 83, 117.41, 2145, 51
2026/09/09 12:31:09.984, 20874, 24467, 0, 0, 42.32, 2482, 50
2026/09/09 12:31:10.984, 20874, 24467, 0, 0, 37.60, 2047, 49
2026/09/09 12:31:11.985, 20874, 24467, 0, 0, 34.22, 2047, 48
2026/09/09 12:31:12.985, 20874, 24467, 0, 0, 30.78, 2047, 47
2026/09/09 12:31:13.985, 20874, 24467, 0, 0, 30.69, 2047, 47
2026/09/09 12:31:14.986, 20874, 24467, 0, 0, 30.38, 2047, 46
2026/09/09 12:31:15.986, 20874, 24467, 0, 0, 30.40, 2047, 46
2026/09/09 12:31:16.986, 20874, 24467, 0, 0, 30.16, 2047, 45
2026/09/09 12:31:17.986, 20874, 24467, 0, 0, 30.17, 2047, 45
2026/09/09 12:31:18.987, 20874, 24467, 0, 0, 30.09, 2047, 44
2026/09/09 12:31:19.987, 20874, 24467, 0, 0, 29.79, 2047, 44
